runtime,20190329-114127
initialisation,TODO
update,TODO
speed,11.631575584411621
n_iterations,1
n_updates,0
average_time_per_update,11.631575584411621
n_clusters,2
wscc,48229826.38758665
4349,"[110.52990418  46.55342106   0.517276     1.98874714  14.55933515
  28.83135354   7.08077485  71.83756629]"
4349,0
4349,1
4349,2
4349,3
4349,5
4349,8
4349,9
4349,10
4349,12
4349,13
4349,14
4349,15
4349,17
4349,18
4349,19
4349,20
4349,21
4349,22
4349,23
4349,24
4349,25
4349,26
4349,27
4349,28
4349,29
4349,32
4349,33
4349,34
4349,35
4349,36
4349,37
4349,39
4349,40
4349,41
4349,43
4349,45
4349,46
4349,48
4349,49
4349,51
4349,52
4349,55
4349,56
4349,58
4349,60
4349,61
4349,62
4349,63
4349,66
4349,67
4349,68
4349,70
4349,71
4349,72
4349,73
4349,74
4349,75
4349,76
4349,77
4349,78
4349,79
4349,80
4349,82
4349,84
4349,85
4349,86
4349,87
4349,88
4349,89
4349,90
4349,91
4349,92
4349,93
4349,94
4349,96
4349,97
4349,98
4349,99
4349,100
4349,101
4349,102
4349,103
4349,104
4349,106
4349,107
4349,108
4349,109
4349,110
4349,111
4349,112
4349,113
4349,114
4349,116
4349,117
4349,118
4349,119
4349,120
4349,121
4349,122
4349,123
4349,124
4349,125
4349,127
4349,128
4349,129
4349,130
4349,131
4349,132
4349,133
4349,134
4349,135
4349,136
4349,137
4349,138
4349,140
4349,141
4349,142
4349,143
4349,144
4349,145
4349,146
4349,147
4349,148
4349,149
4349,150
4349,151
4349,153
4349,154
4349,155
4349,157
4349,158
4349,159
4349,161
4349,162
4349,163
4349,164
4349,165
4349,166
4349,167
4349,168
4349,169
4349,170
4349,171
4349,172
4349,173
4349,174
4349,176
4349,177
4349,178
4349,179
4349,180
4349,182
4349,183
4349,185
4349,187
4349,188
4349,189
4349,190
4349,191
4349,192
4349,193
4349,194
4349,195
4349,197
4349,198
4349,199
4349,201
4349,202
4349,203
4349,204
4349,206
4349,207
4349,208
4349,209
4349,210
4349,211
4349,213
4349,217
4349,218
4349,219
4349,220
4349,221
4349,222
4349,223
4349,224
4349,225
4349,226
4349,227
4349,228
4349,229
4349,230
4349,231
4349,232
4349,233
4349,234
4349,236
4349,237
4349,238
4349,239
4349,240
4349,242
4349,243
4349,245
4349,246
4349,247
4349,248
4349,249
4349,250
4349,251
4349,252
4349,253
4349,254
4349,255
4349,256
4349,257
4349,258
4349,259
4349,260
4349,261
4349,262
4349,263
4349,264
4349,265
4349,266
4349,267
4349,268
4349,269
4349,270
4349,271
4349,272
4349,273
4349,274
4349,275
4349,276
4349,277
4349,278
4349,279
4349,280
4349,281
4349,283
4349,284
4349,285
4349,286
4349,287
4349,289
4349,290
4349,291
4349,292
4349,293
4349,294
4349,295
4349,296
4349,297
4349,299
4349,300
4349,301
4349,302
4349,303
4349,304
4349,305
4349,306
4349,307
4349,308
4349,309
4349,311
4349,312
4349,313
4349,314
4349,315
4349,316
4349,318
4349,320
4349,321
4349,322
4349,323
4349,324
4349,325
4349,326
4349,327
4349,328
4349,329
4349,330
4349,331
4349,332
4349,333
4349,334
4349,335
4349,336
4349,337
4349,338
4349,339
4349,340
4349,341
4349,342
4349,343
4349,344
4349,345
4349,346
4349,348
4349,349
4349,350
4349,351
4349,352
4349,353
4349,354
4349,355
4349,356
4349,357
4349,358
4349,359
4349,360
4349,362
4349,363
4349,364
4349,365
4349,367
4349,368
4349,369
4349,370
4349,371
4349,374
4349,376
4349,377
4349,378
4349,379
4349,380
4349,381
4349,382
4349,383
4349,384
4349,385
4349,386
4349,387
4349,388
4349,389
4349,390
4349,391
4349,392
4349,393
4349,394
4349,395
4349,397
4349,398
4349,400
4349,401
4349,402
4349,403
4349,404
4349,405
4349,406
4349,407
4349,408
4349,409
4349,410
4349,411
4349,412
4349,414
4349,415
4349,416
4349,417
4349,418
4349,419
4349,420
4349,421
4349,422
4349,423
4349,424
4349,425
4349,426
4349,427
4349,428
4349,429
4349,430
4349,431
4349,432
4349,433
4349,434
4349,435
4349,436
4349,437
4349,438
4349,439
4349,440
4349,441
4349,442
4349,443
4349,444
4349,445
4349,446
4349,447
4349,448
4349,449
4349,450
4349,451
4349,452
4349,453
4349,454
4349,455
4349,456
4349,457
4349,458
4349,459
4349,461
4349,462
4349,464
4349,465
4349,467
4349,468
4349,469
4349,470
4349,471
4349,473
4349,474
4349,475
4349,476
4349,477
4349,479
4349,480
4349,481
4349,482
4349,483
4349,484
4349,485
4349,486
4349,487
4349,488
4349,491
4349,492
4349,493
4349,495
4349,496
4349,499
4349,500
4349,501
4349,503
4349,504
4349,505
4349,506
4349,507
4349,508
4349,509
4349,510
4349,511
4349,512
4349,513
4349,514
4349,515
4349,516
4349,517
4349,518
4349,519
4349,520
4349,521
4349,522
4349,523
4349,524
4349,526
4349,527
4349,528
4349,529
4349,530
4349,531
4349,532
4349,534
4349,535
4349,536
4349,537
4349,538
4349,539
4349,540
4349,541
4349,542
4349,543
4349,544
4349,546
4349,547
4349,548
4349,549
4349,551
4349,552
4349,553
4349,554
4349,555
4349,556
4349,558
4349,559
4349,562
4349,564
4349,565
4349,566
4349,567
4349,568
4349,569
4349,570
4349,571
4349,572
4349,573
4349,574
4349,575
4349,576
4349,578
4349,579
4349,580
4349,581
4349,582
4349,583
4349,584
4349,585
4349,586
4349,587
4349,588
4349,589
4349,590
4349,591
4349,592
4349,593
4349,595
4349,596
4349,597
4349,598
4349,599
4349,600
4349,601
4349,602
4349,603
4349,604
4349,606
4349,607
4349,608
4349,609
4349,610
4349,611
4349,613
4349,614
4349,615
4349,616
4349,617
4349,618
4349,620
4349,621
4349,622
4349,624
4349,625
4349,626
4349,627
4349,628
4349,629
4349,630
4349,631
4349,632
4349,634
4349,636
4349,638
4349,639
4349,640
4349,641
4349,642
4349,643
4349,644
4349,645
4349,646
4349,648
4349,650
4349,651
4349,652
4349,653
4349,655
4349,657
4349,658
4349,659
4349,660
4349,662
4349,663
4349,664
4349,665
4349,666
4349,667
4349,668
4349,669
4349,671
4349,672
4349,673
4349,676
4349,677
4349,678
4349,679
4349,680
4349,681
4349,682
4349,683
4349,684
4349,685
4349,686
4349,687
4349,688
4349,689
4349,690
4349,691
4349,692
4349,693
4349,694
4349,695
4349,696
4349,697
4349,698
4349,699
4349,700
4349,701
4349,702
4349,703
4349,704
4349,706
4349,708
4349,709
4349,710
4349,711
4349,712
4349,713
4349,715
4349,717
4349,719
4349,721
4349,722
4349,723
4349,724
4349,725
4349,726
4349,727
4349,728
4349,729
4349,730
4349,731
4349,732
4349,733
4349,734
4349,736
4349,737
4349,738
4349,739
4349,740
4349,741
4349,742
4349,743
4349,744
4349,746
4349,747
4349,748
4349,749
4349,750
4349,751
4349,754
4349,756
4349,757
4349,759
4349,760
4349,761
4349,762
4349,763
4349,764
4349,765
4349,766
4349,767
4349,768
4349,769
4349,771
4349,772
4349,773
4349,776
4349,777
4349,778
4349,779
4349,780
4349,781
4349,784
4349,786
4349,787
4349,788
4349,789
4349,790
4349,791
4349,795
4349,796
4349,797
4349,798
4349,799
4349,800
4349,801
4349,804
4349,805
4349,806
4349,807
4349,808
4349,809
4349,810
4349,811
4349,812
4349,813
4349,814
4349,815
4349,818
4349,819
4349,820
4349,821
4349,822
4349,823
4349,824
4349,825
4349,826
4349,827
4349,828
4349,829
4349,830
4349,832
4349,834
